type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id
3;szakiskola;553183;113160;46,355907;17,789514;500;553183113160
3;szakiskola;554284;113638;46,360365;17,803718;500;554284113638
3;szakiskola;553786;113420;46,358333;17,797294;500;553786113420
3;szakiskola;539414;114215;46,363259;17,610398;500;539414114215
3;szakiskola;531618;118489;46,400365;17,508019;500;531618118489
3;szakiskola;531678;118168;46,397488;17,508882;500;531678118168
3;szakiskola;531891;117566;46,392111;17,511805;500;531891117566
3;szakiskola;531790;118020;46,396177;17,510376;500;531790118020
3;szakiskola;531673;118272;46,398423;17,50879;500;531673118272
3;szakiskola;735783;103224;46,268058;20,160236;500;735783103224
3;szakiskola;734795;103226;46,268202;20,147422;500;734795103226
3;szakiskola;734494;101573;46,253371;20,143217;500;734494101573
3;szakiskola;733012;100254;46,241692;20,123765;500;733012100254
3;szakiskola;736668;102729;46,263492;20,171622;500;736668102729
3;szakiskola;734159;101858;46,255977;20,138925;500;734159101858
3;szakiskola;735548;103490;46,270481;20,157237;500;735548103490
3;szakiskola;733290;101543;46,253252;20,1276;500;733290101543
3;szakiskola;733747;101587;46,253591;20,133534;500;733747101587
3;szakiskola;732608;102007;46,25751;20,118839;500;732608102007
3;szakiskola;736320;101170;46,249514;20,16682;500;736320101170
3;szakiskola;734152;100777;46,246254;20,138639;500;734152100777
3;szakiskola;737678;102225;46,258827;20,184626;500;737678102225
3;szakiskola;735935;102127;46,258171;20,162005;500;735935102127
3;szakiskola;736676;104729;46,281481;20,172099;500;736676104729
3;szakiskola;736448;101005;46,248013;20,168449;500;736448101005
3;szakiskola;733228;102215;46,259304;20,126916;500;733228102215
3;szakiskola;733984;102127;46,258418;20,136704;500;733984102127
3;szakiskola;734018;101993;46,257209;20,137121;500;734018101993
3;szakiskola;734018;101993;46,257209;20,137121;500;734018101993
3;szakiskola;735418;102243;46,259281;20,155322;500;735418102243
3;szakközépiskola;539538;99485;46,230792;17,615518;450;53953899485
3;szakközépiskola;556165;116234;46,383982;17,827629;450;556165116234
3;szakközépiskola;554002;113140;46,355845;17,800158;450;554002113140
3;szakközépiskola;553541;113617;46,360069;17,79407;450;553541113617
3;szakközépiskola;553991;112825;46,35301;17,80008;450;553991112825
3;szakközépiskola;553534;113985;46,363378;17,793902;450;553534113985
3;szakközépiskola;552919;113483;46,358774;17,786017;450;552919113483
3;szakközépiskola;552313;112942;46,353819;17,778258;450;552313112942
3;szakközépiskola;554024;113919;46,362855;17,800282;450;554024113919
3;szakközépiskola;553560;113055;46,355017;17,794434;450;553560113055
3;szakközépiskola;553665;113662;46,360492;17,795671;450;553665113662
3;szakközépiskola;553186;113858;46,362186;17,789407;450;553186113858
3;szakközépiskola;553183;113160;46,355907;17,789514;450;553183113160
3;szakközépiskola;554284;113638;46,360365;17,803718;450;554284113638
3;szakközépiskola;553793;112994;46,354502;17,797473;450;553793112994
3;szakközépiskola;553786;113420;46,358333;17,797294;450;553786113420
3;szakközépiskola;531678;118168;46,397488;17,508882;450;531678118168
3;szakközépiskola;734589;101197;46,249977;20,144381;450;734589101197
3;szakközépiskola;735139;101187;46,249817;20,15151;450;735139101187
3;szakközépiskola;734795;103226;46,268202;20,147422;450;734795103226
3;szakközépiskola;734494;101573;46,253371;20,143217;450;734494101573
3;szakközépiskola;735178;101770;46,255057;20,152123;450;735178101770
3;szakközépiskola;733012;100254;46,241692;20,123765;450;733012100254
3;szakközépiskola;735407;101807;46,25536;20,155099;450;735407101807
3;szakközépiskola;731064;101384;46,252095;20,098708;450;731064101384
3;szakközépiskola;734159;101858;46,255977;20,138925;450;734159101858
3;szakközépiskola;734372;101338;46,251273;20,141593;450;734372101338
3;szakközépiskola;733254;101544;46,253265;20,127133;450;733254101544
3;szakközépiskola;735542;102295;46,259733;20,156939;450;735542102295
3;szakközépiskola;735548;103490;46,270481;20,157237;450;735548103490
3;szakközépiskola;735535;103433;46,26997;20,157058;450;735535103433
3;szakközépiskola;733290;101543;46,253252;20,1276;450;733290101543
3;szakközépiskola;733747;101587;46,253591;20,133534;450;733747101587
3;szakközépiskola;734710;102002;46,257203;20,146096;450;734710102002
3;szakközépiskola;732608;102007;46,25751;20,118839;450;732608102007
3;szakközépiskola;736320;101170;46,249514;20,16682;450;736320101170
3;szakközépiskola;735381;101970;46,25683;20,154792;450;735381101970
3;szakközépiskola;734233;103218;46,268201;20,140131;450;734233103218
3;szakközépiskola;737678;102225;46,258827;20,184626;450;737678102225
3;szakközépiskola;735935;102127;46,258171;20,162005;450;735935102127
3;szakközépiskola;736448;101005;46,248013;20,168449;450;736448101005
3;szakközépiskola;735717;102157;46,258469;20,159183;450;735717102157
3;szakközépiskola;735533;102253;46,259356;20,156815;450;735533102253
3;szakközépiskola;736750;103664;46,271891;20,17286;450;736750103664
3;szakközépiskola;734519;100339;46,242268;20,143317;450;734519100339
3;szakközépiskola;734018;101993;46,257209;20,137121;450;734018101993
3;szakközépiskola;734108;101251;46,250523;20,138154;450;734108101251
3;szakközépiskola;735418;102243;46,259281;20,155322;450;735418102243
3;szakközépiskola;734793;102366;46,260466;20,147239;450;734793102366
3;szakközépiskola;733012;100254;46,241692;20,123765;450;733012100254
3;szakközépiskola;734722;100938;46,247631;20,146058;450;734722100938
