subtype;EOVX;EOVY;LAT;LON;poid;id;risk;essential;work_type;work_capacity;work_minage;work_maxage;vis_type;vis_capacity;vis_minage;vis_maxage
bankautomata;733767;101834;46,25581;20,133838;55086;55086_237;1;1;4;0;18;65;1;200;22;99
bankautomata;734119;103231;46,268332;20,138655;55087;55087_238;1;1;4;0;18;65;1;200;22;99
bankautomata;734714;101704;46,254522;20,146094;55603;55603_239;1;1;4;0;18;65;1;200;22;99
bankautomata;734815;101926;46,256506;20,147444;58190;58190_240;1;1;4;0;18;65;1;200;22;99
bankautomata;734695;101075;46,248866;20,145733;58191;58191_241;1;1;4;0;18;65;1;200;22;99
bankautomata;735475;103674;46,272145;20,156324;71974;71974_242;1;1;4;0;18;65;1;200;22;99
bankautomata;734913;103250;46,268403;20,148957;71975;71975_243;1;1;4;0;18;65;1;200;22;99
bankautomata;736053;100648;46,244853;20,163261;71976;71976_244;1;1;4;0;18;65;1;200;22;99
bankautomata;736104;102764;46,263879;20,164314;76102;76102_245;1;1;4;0;18;65;1;200;22;99
bankautomata;732707;100465;46,243627;20,119849;86908;86908_246;1;1;4;0;18;65;1;200;22;99
bankautomata;733154;100369;46,242709;20,125627;86909;86909_247;1;1;4;0;18;65;1;200;22;99
bankautomata;733469;103298;46,269016;20,130236;86910;86910_248;1;1;4;0;18;65;1;200;22;99
bankautomata;734215;100387;46,242738;20,139385;99318;99318_249;1;1;4;0;18;65;1;200;22;99
bankautomata;734788;101020;46,24836;20,146929;99541;99541_250;1;1;4;0;18;65;1;200;22;99
bankautomata;735004;101788;46,255241;20,14987;99542;99542_251;1;1;4;0;18;65;1;200;22;99
bankautomata;732789;100310;46,242223;20,120884;99812;99812_252;1;1;4;0;18;65;1;200;22;99
bankautomata;729894;105411;46,288458;20,08423;164084;164084_253;1;1;4;0;18;65;1;200;22;99
bankautomata;733359;103025;46,266574;20,12876;164085;164085_254;1;1;4;0;18;65;1;200;22;99
bankautomata;734119;103231;46,268332;20,138655;176785;176785_255;1;1;4;0;18;65;1;200;22;99
bankautomata;734634;101932;46,256583;20,145098;207818;207818_256;1;1;4;0;18;65;1;200;22;99
bankautomata;734177;101655;46,254149;20,139122;216670;216670_257;1;1;4;0;18;65;1;200;22;99
