type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id;minage;maxage;;;;;;;;;;
3;általános iskola;726445;94174;46,187782;20,037632;500;372644594174;22;65;;;;;;;;;;
3;általános iskola;730620;113454;46,360719;20,095047;500;3730620113454;22;65;;;;;;;;;;
3;általános iskola;536489;129689;46,501947;17,56859;500;3536489129689;22;65;;;;;;;;;;
3;általános iskola;552373;132158;46,526672;17,77497;500;3552373132158;22;65;;;;;;;;;;
3;általános iskola;547873;128377;46,491988;17,717167;500;3547873128377;22;65;;;;;;;;;;
3;általános iskola;538586;119614;46,411682;17,598339;500;3538586119614;22;65;;;;;;;;;;
3;általános iskola;726587;111617;46,344668;20,042344;500;3726587111617;22;65;;;;;;;;;;
3;általános iskola;726660;111724;46,345622;20,04331;500;3726660111724;22;65;;;;;;;;;;
3;általános iskola;734155;100325;46,242188;20,138596;500;3734155100325;22;65;;;;;;;;;;
3;általános iskola;735783;103224;46,268058;20,160236;500;3735783103224;22;65;;;;;;;;;;
3;általános iskola;736314;102485;46,261343;20,166986;500;3736314102485;22;65;;;;;;;;;;
3;általános iskola;735528;103364;46,26935;20,156954;500;3735528103364;22;65;;;;;;;;;;
3;általános iskola;734398;102244;46,259419;20,142094;500;3734398102244;22;65;;;;;;;;;;
3;általános iskola;735837;103372;46,269382;20,160964;500;3735837103372;22;65;;;;;;;;;;
3;általános iskola;734714;100725;46,245716;20,145916;500;3734714100725;22;65;;;;;;;;;;
3;általános iskola;734678;102182;46,258826;20,145714;500;3734678102182;22;65;;;;;;;;;;
3;általános iskola;728920;103301;46,269594;20,071233;500;3728920103301;22;65;;;;;;;;;;
3;általános iskola;736961;100597;46,244277;20,175024;500;3736961100597;22;65;;;;;;;;;;
3;általános iskola;734095;103480;46,270575;20,138389;500;3734095103480;22;65;;;;;;;;;;
3;általános iskola;734722;100938;46,247631;20,146058;500;3734722100938;22;65;;;;;;;;;;
3;általános iskola;733738;100890;46,247322;20,133292;500;3733738100890;22;65;;;;;;;;;;
