type;subtype;EOVX;EOVY;LAT;LON;capacity;id;id0;minage;maxage;risk
4;szakközépiskola;735418;102243;46,259281;20,155322;50;213989szakk;213989;22;65;1
4;szakközépiskola;735533;102253;46,259356;20,156815;50;110188szakk;110188;22;65;1
4;szakközépiskola;735535;103433;46,26997;20,157058;68;45729szakk;45729;22;65;1
4;szakközépiskola;735542;102295;46,259733;20,156939;50;45627szakk;45627;22;65;1
4;szakközépiskola;735548;103490;46,270481;20,157237;50;45637szakk;45637;22;65;1
4;szakközépiskola;735717;102157;46,258469;20,159183;50;110162szakk;110162;22;65;1
4;szakközépiskola;735935;102127;46,258171;20,162005;7;109537szakk;109537;22;65;1
4;szakközépiskola;736320;101170;46,249514;20,16682;61;46718szakk;46718;22;65;1
4;szakközépiskola;736448;101005;46,248013;20,168449;20;109541szakk;109541;22;65;1
4;szakközépiskola;736750;103664;46,271891;20,17286;50;110189szakk;110189;22;65;1
4;szakközépiskola;737678;102225;46,258827;20,184626;50;109458szakk;109458;22;65;1
4;busz pályaudvar;734360;102000;46,257229;20,141557;5;67132;734360102000;24;65;1
4;busz pályaudvar;736052;103483;46,270353;20,163773;5;114516;736052103483;24;65;1
4;csomagautomata;734119;103231;46,268332;20,138655;1;189150;734119103231;18;65;1
4;csomagautomata;734177;101655;46,254149;20,139122;1;205135;734177101655;18;65;1
4;csomagautomata;734119;103231;46,268332;20,138655;1;219737;734119103231;18;65;1
4;csomagautomata;736775;99668;46,235944;20,172439;1;222841;73677599668;18;65;1
4;csomagautomata;732707;100465;46,243627;20,119849;1;222857;732707100465;18;65;1
4;csomagpont;735038;102475;46,261416;20,150436;1;205586;735038102475;18;65;1
4;csomagpont;734683;101456;46,252295;20,145647;1;205588;734683101456;18;65;1
4;csomagpont;735577;102836;46,264594;20,157493;1;205589;735577102836;18;65;1
4;csomagpont;733720;100542;46,244194;20,132996;1;205595;733720100542;18;65;1
4;csomagpont;732707;100465;46,243627;20,119849;1;205597;732707100465;18;65;1
4;csomagpont;736462;104676;46,281032;20,169313;1;218945;736462104676;18;65;1
4;csomagpont;737797;99735;46,236414;20,185699;1;218946;73779799735;18;65;1
4;csomagpont;734695;101075;46,248866;20,145733;1;218947;734695101075;18;65;1
4;csomagpont;738918;102208;46,258511;20,200703;1;218948;738918102208;18;65;1
4;csomagpont;738672;98030;46,220963;20,196717;1;218949;73867298030;18;65;1
4;csomagpont;735072;103758;46,272952;20,151112;1;218950;735072103758;18;65;1
4;csomagpont;728284;103831;46,274436;20,063073;1;218952;728284103831;18;65;1
4;csomagpont;736375;101285;46,250541;20,167554;1;218953;736375101285;18;65;1
4;csomagpont;733319;102203;46,259162;20,128101;1;223007;733319102203;18;65;1
4;csomagpont;735630;101913;46,256285;20,15801;1;223008;735630101913;18;65;1
4;csomagpont;736034;102058;46,257515;20,163282;1;223009;736034102058;18;65;1
4;csomagpont;731908;102531;46,262309;20,109854;1;223010;731908102531;18;65;1
4;csomagpont;731838;102475;46,261814;20,108936;1;205077;731838102475;18;65;1
4;csomagpont;734177;101655;46,254149;20,139122;1;205078;734177101655;18;65;1
4;csomagpont;734119;103231;46,268332;20,138655;1;222828;734119103231;18;65;1
4;csomagpont;731353;103621;46,272181;20,102847;1;204926;731353103621;18;65;1
4;csomagpont;733285;102722;46,263858;20,127746;1;204927;733285102722;18;65;1
4;csomagpont;734150;100867;46,247064;20,138629;1;223470;734150100867;18;65;1
4;csomagpont;736462;104676;46,281032;20,169313;1;223471;736462104676;18;65;1
4;csomagpont;732312;102931;46,265858;20,115164;1;223472;732312102931;18;65;1
4;csomagpont;734695;101075;46,248866;20,145733;1;223473;734695101075;18;65;1
