type;subtype;EOVX;EOVY;LAT;LON;capacity;poid;id;minage;maxage;risk
1;bankautomata;733154;101622;46,253979;20,125851;200;54580;733154101622;22;99;1
1;bankautomata;734374;102037;46,25756;20,141746;200;54582;734374102037;22;99;1
1;bankautomata;735707;100699;46,245356;20,158785;200;54586;735707100699;22;99;1
1;bankautomata;736479;100838;46,246507;20,168819;200;54587;736479100838;22;99;1
1;bankautomata;731635;103699;46,272849;20,106519;200;54589;731635103699;22;99;1
1;bankautomata;730659;104266;46,278067;20,093957;200;54590;730659104266;22;99;1
1;bankautomata;728300;103931;46,275334;20,063298;200;54593;728300103931;22;99;1
1;bankautomata;738672;98030;46,220963;20,196717;200;54594;73867298030;22;99;1
1;bankautomata;733767;101834;46,25581;20,133838;200;55086;733767101834;22;99;1
1;bankautomata;734119;103231;46,268332;20,138655;200;55087;734119103231;22;99;1
1;bankautomata;734714;101704;46,254522;20,146094;200;55603;734714101704;22;99;1
1;bankautomata;734815;101926;46,256506;20,147444;200;58190;734815101926;22;99;1
1;bankautomata;734695;101075;46,248866;20,145733;200;58191;734695101075;22;99;1
1;bankautomata;735475;103674;46,272145;20,156324;200;71974;735475103674;22;99;1
1;bankautomata;734913;103250;46,268403;20,148957;200;71975;734913103250;22;99;1
1;bankautomata;736053;100648;46,244853;20,163261;200;71976;736053100648;22;99;1
1;bankautomata;736104;102764;46,263879;20,164314;200;76102;736104102764;22;99;1
1;bankautomata;732707;100465;46,243627;20,119849;200;86908;732707100465;22;99;1
1;bankautomata;733154;100369;46,242709;20,125627;200;86909;733154100369;22;99;1
1;bankautomata;733469;103298;46,269016;20,130236;200;86910;733469103298;22;99;1
1;bankautomata;734215;100387;46,242738;20,139385;200;99318;734215100387;22;99;1
1;bankautomata;734788;101020;46,24836;20,146929;200;99541;734788101020;22;99;1
1;bankautomata;735004;101788;46,255241;20,14987;200;99542;735004101788;22;99;1
1;bankautomata;732789;100310;46,242223;20,120884;200;99812;732789100310;22;99;1
1;bankautomata;729894;105411;46,288458;20,08423;200;164084;729894105411;22;99;1
1;bankautomata;733359;103025;46,266574;20,12876;200;164085;733359103025;22;99;1
1;bankautomata;734119;103231;46,268332;20,138655;200;176785;734119103231;22;99;1
1;bankautomata;734634;101932;46,256583;20,145098;200;207818;734634101932;22;99;1
1;bankautomata;734177;101655;46,254149;20,139122;200;216670;734177101655;22;99;1
1;bankautomata;734177;101655;46,254149;20,139122;200;216671;734177101655;22;99;1
1;bankautomata;734840;101522;46,252869;20,147695;200;54563;734840101522;22;99;1
1;bankautomata;734779;101955;46,256771;20,146983;200;55435;734779101955;22;99;1
1;bankautomata;738453;102025;46,256926;20,194638;200;32216;738453102025;22;99;1
1;bankautomata;736370;100845;46,246584;20,167408;200;75827;736370100845;22;99;1
1;bankautomata;728300;103848;46,274587;20,063284;200;99378;728300103848;22;99;1
1;bankautomata;734437;101867;46,256023;20,142532;200;99870;734437101867;22;99;1
1;bankautomata;734604;101005;46,248248;20,14454;200;164162;734604101005;22;99;1
1;bankautomata;734582;102042;46,257579;20,144444;200;55170;734582102042;22;99;1
1;bankautomata;734755;101273;46,25064;20,146547;200;71894;734755101273;22;99;1
1;bankautomata;734177;101655;46,254149;20,139122;200;164206;734177101655;22;99;1
1;bankautomata;734838;101480;46,252491;20,147661;200;71783;734838101480;22;99;1
1;bankautomata;734867;101465;46,252353;20,148034;200;180676;734867101465;22;99;1
7;bankfiók;734780;101477;46,252471;20,146908;300;52311;734780101477;22;99;1
7;bankfiók;734792;101538;46,253019;20,147075;300;52310;734792101538;22;99;1
7;bankfiók;734684;101405;46,251836;20,14565;300;52314;734684101405;22;99;1
7;bankfiók;734927;101476;46,252444;20,148814;300;52317;734927101476;22;99;1
7;bankfiók;734919;101754;46,254946;20,148761;300;52308;734919101754;22;99;1
7;bankfiók;734979;101377;46,251547;20,14947;300;52313;734979101377;22;99;1
7;bankfiók;734711;101359;46,251419;20,145992;300;52315;734711101359;22;99;1
7;bankfiók;734788;101020;46,24836;20,146929;300;52309;734788101020;22;99;1
7;bankfiók;735004;101788;46,255241;20,14987;300;52320;735004101788;22;99;1
7;bankfiók;728300;103931;46,275334;20,063298;300;52327;728300103931;22;99;1
7;bankfiók;734177;101655;46,254149;20,139122;300;148019;734177101655;22;99;1
7;bankfiók;734119;103231;46,268332;20,138655;300;176780;734119103231;22;99;1
7;bankfiók;734840;101522;46,252869;20,147695;300;52316;734840101522;22;99;1
7;bankfiók;734779;101955;46,256771;20,146983;300;52322;734779101955;22;99;1
7;bankfiók;735032;101588;46,253438;20,150196;300;142755;735032101588;22;99;1
7;bankfiók;734867;101465;46,252353;20,148034;300;179479;734867101465;22;99;1
7;bankfiók;734582;102042;46,257579;20,144444;300;52321;734582102042;22;99;1
7;bankfiók;734838;101480;46,252491;20,147661;300;59073;734838101480;22;99;1
7;bankfiók;735032;101588;46,253438;20,150196;300;67714;735032101588;22;99;1
7;bankfiók;734793;102366;46,260466;20,147239;300;221486;734793102366;22;99;1
4;Bányászati Hivatal;735127;102143;46,258418;20,15153;100;114162;735127102143;22;65;1
13;bár;734907;101387;46,251646;20,148539;100;179310;734907101387;18;99;1
13;bár;734655;101575;46,253369;20,145305;100;184449;734655101575;18;99;1
